year,group,index,name,type,performers,note,
1986,第三组,6,谜语（四化在心上）,互动环节,,,
1986,第三组,7,《太阳出来喜洋洋》,表演唱,刘晓庆,,
1986,第三组,8,《燕子》《阿拉木罕》,歌曲,江桦（香港）,,
1986,第三组,9,《春光美》《祝福歌》,歌曲,张德兰（香港）,,
1986,第四组,1,《送菜进城》,东北民歌,郭颂,,
1986,第四组,2,《勿忘我》,歌曲,彭丽媛,,
1986,第四组,3,《照相》,相声,姜昆 唐杰忠,,
1986,第四组,4,《最后一个梦》《五十六个民族同唱一支歌》,歌曲,蒋大为,,
1986,第四组,5,谜语（春节三日不离厂、慢等除夕钟声来）,互动环节,,,
1986,第四组,6,《羊肉串》,小品,陈佩斯 朱时茂,,
1986,第四组,7,《唱歌的姿势》,相声,姜昆 唐杰忠,,
1986,第四组,8,零点钟声,倒计时,,,
1986,第四组,9,《拜年歌》,歌曲,全体演员,,
1987,第一组,1,《祝岁歌》,开场歌舞,叶矛 廖莎,,
1987,第一组,1,腰鼓,开场歌舞,延安地区群众艺术馆,,
1987,第一组,1,舞蹈,开场歌舞,空军蓝天幼儿艺术团,,
1987,第一组,2,《巧对影联》,相声,刘伟 冯巩,,
1987,第一组,3,《孙二娘开店》,戏曲小品,游本昌 董元元 张寄蝶 孙绍东 朱世慧 莫元季 刘丰,,
1987,第一组,4,《小小的我》,歌曲,苏红,,
1987,第一组,5,《酒歌》,西藏民歌,胡松华,,
1987,第一组,6,《家庭宴会》,动物小品,王明玉 李扬等,,
1987,第一组,7,《除夕圆舞曲》,舞蹈,刘旭峰,,
1987,第二组,1,《送给你明天的太阳》《我们见面又分手》,歌曲,叶丽仪（香港）,,
1987,第二组,2,《恩爱夫妻》,小品,王馥荔 陈裕德（已故，1996年）,,
1987,第二组,3,《学播音》,相声,笑林 李国盛,,
1987,第二组,4,《我爱五指山，我爱万泉河》,歌曲,李双江,,
1987,第二组,5,《血染的风采》,歌曲,徐良 王虹,,
1987,第二组,6,《汉宫惊魂》选段,双簧京剧清唱,李光 葛存壮,,
1987,第二组,7,《虎口遐想》,相声,姜昆 唐杰忠,,
1987,第二组,8,十佳运动员授奖仪式,颁奖环节,宋世雄,,
1987,第二组,9,《鞍马开花》,体育表演,李宁等,,
1987,第三组,1,《变兔》,小魔术,冯京,,
1987,第三组,2,《春天你在哪里》,歌曲,殷秀梅,,
1987,第三组,3,《拔牙》,相声小品,赵连甲 王刚,,
1987,第三组,4,中学生服装表演,服装表演,胡慧娟 彭阿兰 邓文英,,
1987,第三组,5,《产房门前》,小品,郭达 杨蕾 高兰村 邹小茜,,
1987,第三组,6,《繁星从你眼前升起》,歌曲,王静,,
1987,第三组,7,《你会爱上它》,歌曲,彭丽媛,,
1987,第三组,8,《音乐欣赏》,小串场,笑林 刘亚津,,
1987,第三组,9,《三峡人家》,歌曲,蒋大为,,
1987,第三组,10,《打岔》,相声,侯耀文（已故，2007年6月） 石富宽,,
1987,第三组,11,猜猜看,互动环节,赵子岳（已故，1997年）,,
1987,第四组,1,抻面表演,技艺表演,北京饭店王造柱等,,
1987,第四组,2,《我是春风我是爱》,歌曲,郁钧剑,,
1987,第四组,3,《卖鱼》,小串场,刘亚津,,
1987,第四组,4,《故乡的云》《冬天里的一把火》,歌曲,费翔（台湾）,,
1987,第四组,5,《日月与星辰》,歌曲,董文华,,
1987,第四组,6,《五官争功》,相声,马季（已故，2006年12月） 赵炎 王金宝 冯巩 刘伟,,
1987,第四组,7,民族团结大联唱,歌曲联唱,左纯 苏红 格桑曲珍（藏族） 克里木（维族） 赵琼霞（纳西族） 赵玉衡（朝鲜族） 拉苏荣 金花（蒙古族） 马太萱（回族） 杜萍 张也 侯耀文（已故，2007年6月）（满族） 张德富 卢秀梅 安冬 曲比阿乌（彝族）,,
1987,第四组,8,《春天的钟》,歌曲,胡晓晴,,
1987,第四组,9,零点钟声,倒计时,,,
1987,第四组,10,尾声,结束环节,,,
1987,第五组,1,各路神仙出场,开场,,,
1987,第五组,2,导演杨洁介绍拍摄进度,特别环节,杨洁,,
1987,第五组,3,《正月里来是新春》,歌曲,全体演员,,
1987,第五组,4,《唐舞》,舞蹈,张京棣,,
1987,第五组,5,小品,小品,韩善续,,
1987,第五组,6,《王母咏叹调》,歌曲,万馥香,,
1987,第五组,7,串场,串场,王夫棠 马德华,,
1987,第五组,8,《女儿情》,歌曲,吴静,,
1987,第五组,9,《欢乐就在今宵》,歌舞,王平华 吴静,,
1987,第五组,10,《唐僧抒怀》,歌曲,迟重瑞,,
1987,第五组,11,相声,相声,程之 曹铎,,
1987,第五组,12,《五百年沧田桑海》,歌曲,郁钧剑,,
1987,第五组,13,《猴嘻》,舞蹈,六小龄童,,
1987,第五组,14,串场,串场,阎怀礼（已故，2009年）,,
1987,第五组,15,《八戒之歌》,歌曲,马德华,,
1987,第五组,16,《敢问路在何方》,歌曲,蒋大为,,
